Area_id,area,area_title,occ_title,tot_emp,h_mean,a_mean
352,50,Vermont,Legal Occupations,"1,990",40.6,"84,450"
353,51,Virginia,Legal Occupations,"35,600",49.91,"103,820"
354,53,Washington,Legal Occupations,"21,540",49.43,"102,810"
355,54,West Virginia,Legal Occupations,"5,230",36.05,"74,990"
356,55,Wisconsin,Legal Occupations,"14,160",46.1,"95,890"
357,56,Wyoming,Legal Occupations,"1,630",36.29,"75,490"
358,1,Alabama,"Education, Training, and Library Occupations","103,640",23.41,"48,690"
359,2,Alaska,"Education, Training, and Library Occupations","21,810",29.79,"61,960"
360,4,Arizona,"Education, Training, and Library Occupations","141,430",22.96,"47,770"
361,5,Arkansas,"Education, Training, and Library Occupations","74,380",22.31,"46,410"
362,6,California,"Education, Training, and Library Occupations","1,028,190",31.76,"66,050"
363,8,Colorado,"Education, Training, and Library Occupations","143,090",26.4,"54,910"
364,9,Connecticut,"Education, Training, and Library Occupations","120,700",31.71,"65,970"
365,10,Delaware,"Education, Training, and Library Occupations","25,280",26.7,"55,540"
366,11,District of Columbia,"Education, Training, and Library Occupations","34,050",38.86,"80,820"
367,12,Florida,"Education, Training, and Library Occupations","431,690",23.45,"48,770"
368,13,Georgia,"Education, Training, and Library Occupations","270,530",24.58,"51,130"
369,15,Hawaii,"Education, Training, and Library Occupations","43,370",25.74,"53,550"
370,16,Idaho,"Education, Training, and Library Occupations","43,070",20.87,"43,410"
371,17,Illinois,"Education, Training, and Library Occupations","375,430",26.72,"55,570"
372,18,Indiana,"Education, Training, and Library Occupations","164,670",23.45,"48,770"
373,19,Iowa,"Education, Training, and Library Occupations","106,430",25.17,"52,360"
374,20,Kansas,"Education, Training, and Library Occupations","92,590",22.02,"45,800"
